"loan_id","user_id","application_date","requested_amount","currency","est_credit_score","requested_term_months","loan_purpose","acquisition_channel","outcome"
27604,U26479,"2025-11-08",2550,GBP,,24.0,Other / unspecified,"",Abandoned - No Documents Uploaded
27609,U56919,"2025-10-23",10900,GBP,561.0,12.0,Medical expenses,Referral,Rejected
28021,U69646,"2025-12-11",12400,GBP,850.0,60.0,Medical expenses,"",Granted
27613,U50731,"2025-11-26",2000,GBP,690.0,36.0,Car purchase,Paid Search,Abandoned - Document Issues
27621,U34044,"2025-10-31",6150,GBP,583.0,48.0,Education / tuition,Paid Search,Rejected
27625,U43113,"2025-11-10",19500,GBP,726.0,36.0,Medical expenses,Referral,Abandoned - No Documents Uploaded
27628,U24462,"2025-10-01",4300,GBP,,60.0,"",Paid Search,Granted
27634,U48599,"2025-10-17",17250,GBP,706.0,,Medical expenses,Social Media Ads,Abandoned - No Documents Uploaded
27657,U73005,"2025-10-27",6450,GBP,706.0,60.0,Wedding,Affiliate / Comparison Site,Abandoned - Document Issues
27676,U68330,"2025-11-30",15600,GBP,536.0,12.0,Home improvement,Organic Search,Rejected
27686,U63981,"2025-10-06",8150,GBP,,60.0,Holiday / travel,Social Media Ads,Abandoned - No Documents Uploaded
27691,U78466,"2025-10-23",6800,GBP,482.0,36.0,Car purchase,Affiliate / Comparison Site,Rejected
27698,U31534,"2025-11-14",9550,GBP,642.0,12.0,Debt consolidation,Direct / App Store,Rejected
27706,U10632,"2025-11-05",9450,GBP,850.0,24.0,Car purchase,"",Abandoned - No Documents Uploaded
27713,U84945,"2025-10-03",2750,GBP,653.0,24.0,Other / unspecified,Referral,Granted
27721,U91465,"2025-10-25",18150,GBP,505.0,12.0,Wedding,Organic Search,Abandoned - No Documents Uploaded
27729,U96458,"2025-10-04",500,GBP,558.0,36.0,Other / unspecified,Affiliate / Comparison Site,Abandoned - Document Issues
27731,U34395,"2025-11-09",8500,GBP,538.0,24.0,Home improvement,Referral,Rejected
27732,U18475,"2025-10-21",14650,GBP,651.0,12.0,Business investment,Social Media Ads,Rejected
27733,U46468,"2025-10-01",25000,GBP,558.0,36.0,Car purchase,Referral,Rejected
27752,U59781,"2025-11-04",19900,GBP,619.0,,Car purchase,Organic Search,Rejected
27769,U74785,"2025-12-31",9050,GBP,580.0,6.0,"",Organic Search,Abandoned - No Documents Uploaded
27782,U36074,"2025-11-05",22000,GBP,789.0,12.0,Education / tuition,Affiliate / Comparison Site,Granted
27788,U95634,"2025-11-13",6600,GBP,,24.0,Business investment,Organic Search,Abandoned - No Documents Uploaded
27793,U91791,"2025-10-23",9050,GBP,747.0,6.0,Debt consolidation,Social Media Ads,Granted
27815,U70880,"2025-10-31",2550,GBP,,12.0,Debt consolidation,Affiliate / Comparison Site,Abandoned - Document Issues
27816,U15855,"2025-10-19",1400,GBP,660.0,36.0,Wedding,Affiliate / Comparison Site,Granted
27822,U64328,"2025-11-13",17400,GBP,650.0,6.0,Debt consolidation,Direct / App Store,Granted
27824,U71222,"2025-12-22",16300,GBP,625.0,24.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
27826,U22028,"2025-12-20",5450,GBP,684.0,48.0,Business investment,Social Media Ads,Granted
27835,U88233,"2025-10-07",9950,GBP,615.0,24.0,Medical expenses,Organic Search,Rejected
27838,U22605,"2025-12-02",2700,GBP,556.0,24.0,Medical expenses,Direct / App Store,Abandoned - No Documents Uploaded
27861,U57325,"2025-11-26",6500,GBP,696.0,,Holiday / travel,Referral,Abandoned - Post Approval
27868,U92657,"2025-11-11",13600,GBP,,60.0,Car purchase,Direct / App Store,Abandoned - No Documents Uploaded
27871,U58440,"2025-11-06",13200,GBP,547.0,36.0,Business investment,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
27872,U78476,"2025-11-30",11200,GBP,511.0,24.0,Medical expenses,Affiliate / Comparison Site,Rejected
27874,U41635,"2025-11-01",7250,GBP,694.0,36.0,Debt consolidation,Social Media Ads,Abandoned - Document Issues
27875,U99385,"2025-12-10",9650,GBP,546.0,12.0,Home improvement,Affiliate / Comparison Site,Rejected
27879,U30503,"2025-11-29",8300,GBP,,36.0,Wedding,Direct / App Store,Rejected
27892,U70312,"2025-10-18",2050,GBP,667.0,24.0,Business investment,Organic Search,Rejected
27893,U99302,"2025-11-05",5800,GBP,713.0,24.0,Medical expenses,Paid Search,Granted
27894,U97074,"2025-12-01",5800,GBP,621.0,24.0,Business investment,Referral,Rejected
27896,U89604,"2025-10-15",2500,GBP,542.0,24.0,Home improvement,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
27899,U58465,"2025-11-28",1400,GBP,597.0,24.0,"",Direct / App Store,Granted
27903,U79453,"2025-11-17",10300,GBP,727.0,36.0,Education / tuition,"",Abandoned - No Documents Uploaded
27905,U59052,"2025-12-16",5950,GBP,752.0,6.0,Wedding,Organic Search,Granted
27913,U43326,"2025-10-16",8600,GBP,623.0,36.0,Education / tuition,Affiliate / Comparison Site,Granted
27925,U69114,"2025-11-29",3600,GBP,788.0,24.0,Wedding,Social Media Ads,Granted
27928,U69731,"2025-10-16",6350,GBP,615.0,24.0,Other / unspecified,Social Media Ads,Abandoned - Document Issues
27940,U51910,"2025-10-30",18950,GBP,850.0,48.0,Business investment,Organic Search,Granted
27942,U94652,"2025-10-18",1100,GBP,515.0,,"",Social Media Ads,Rejected
27944,U28587,"2025-10-11",7550,GBP,604.0,12.0,Medical expenses,Paid Search,Abandoned - Document Issues
27945,U43772,"2025-11-20",10100,GBP,547.0,24.0,Education / tuition,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
27954,U93587,"2025-11-03",11150,GBP,433.0,60.0,Holiday / travel,Referral,Rejected
27958,U97447,"2025-10-03",10050,GBP,710.0,24.0,Education / tuition,Organic Search,Abandoned - Document Issues
27974,U62363,"2025-11-10",9050,GBP,779.0,12.0,Business investment,Paid Search,Granted
27977,U78456,"2025-11-13",1450,GBP,,6.0,Car purchase,Social Media Ads,Granted
27979,U75431,"2025-12-29",8950,GBP,419.0,24.0,Education / tuition,Organic Search,Rejected
27984,U38591,"2025-11-27",23550,GBP,728.0,36.0,Business investment,Direct / App Store,Abandoned - No Documents Uploaded
27986,U51583,"2025-12-17",3200,GBP,796.0,24.0,Holiday / travel,Affiliate / Comparison Site,Abandoned - Document Issues
27987,U94894,"2025-11-17",8300,GBP,650.0,24.0,Education / tuition,Paid Search,Abandoned - No Documents Uploaded
27998,U60132,"2025-10-27",9300,GBP,831.0,6.0,Wedding,Social Media Ads,Granted
28001,U60937,"2025-12-05",17050,GBP,793.0,24.0,Education / tuition,"",Granted
28004,U71571,"2025-12-18",6850,GBP,708.0,24.0,Home improvement,Social Media Ads,Abandoned - No Documents Uploaded
28005,U77947,"2025-12-27",9400,GBP,562.0,60.0,Holiday / travel,Referral,Abandoned - No Documents Uploaded
28010,U70615,"2025-12-07",16650,GBP,438.0,,Debt consolidation,Paid Search,Rejected
28011,U73132,"2025-11-21",9850,GBP,551.0,,Medical expenses,"",Abandoned - No Documents Uploaded
28012,U62362,"2025-10-13",10700,GBP,505.0,12.0,Wedding,Organic Search,Rejected
28016,U64267,"2025-11-06",8200,GBP,650.0,12.0,Car purchase,Organic Search,Abandoned - No Documents Uploaded
28027,U95133,"2025-11-11",10500,GBP,649.0,36.0,Other / unspecified,Organic Search,Granted
28034,U69165,"2025-12-20",8450,GBP,660.0,36.0,Wedding,"",Rejected
28040,U87491,"2025-11-01",3700,GBP,721.0,12.0,Other / unspecified,Organic Search,Rejected
28052,U68739,"2025-12-08",3150,GBP,850.0,24.0,Business investment,Social Media Ads,Granted
28053,U55646,"2025-10-03",15100,GBP,850.0,12.0,Business investment,Social Media Ads,Abandoned - No Documents Uploaded
28061,U82997,"2025-10-25",15300,GBP,739.0,24.0,Wedding,Referral,Abandoned - No Documents Uploaded
28067,U61823,"2025-11-11",17800,GBP,652.0,36.0,Medical expenses,Referral,Rejected
28070,U57332,"2025-10-18",4650,GBP,630.0,60.0,Car purchase,Organic Search,Abandoned - No Documents Uploaded
28072,U86586,"2025-11-18",10200,GBP,667.0,48.0,Medical expenses,"",Abandoned - No Documents Uploaded
28091,U61049,"2025-10-28",20500,GBP,723.0,,Wedding,Organic Search,Granted
28095,U77313,"2025-10-07",18600,GBP,680.0,24.0,Holiday / travel,Social Media Ads,Rejected
28096,U42705,"2025-12-24",5150,GBP,,24.0,Holiday / travel,Paid Search,Rejected
28098,U59972,"2025-11-19",2850,GBP,788.0,12.0,Wedding,Social Media Ads,Granted
28110,U69649,"2025-10-13",2550,GBP,575.0,6.0,Business investment,Paid Search,Abandoned - No Documents Uploaded
28114,U56717,"2025-12-17",9600,GBP,,12.0,Business investment,Organic Search,Rejected
28124,U39768,"2025-11-23",11500,GBP,734.0,24.0,Car purchase,Paid Search,Granted
28137,U68109,"2025-11-28",13500,GBP,846.0,6.0,Car purchase,Organic Search,Abandoned - No Documents Uploaded
28154,U38292,"2025-12-20",4950,GBP,723.0,24.0,Wedding,Organic Search,Granted
28158,U29779,"2025-10-28",3650,GBP,531.0,,Medical expenses,"",Abandoned - Document Issues
28165,U42086,"2025-12-31",10150,GBP,511.0,24.0,Debt consolidation,"",Abandoned - No Documents Uploaded
28178,U31928,"2025-11-09",14350,GBP,568.0,12.0,Education / tuition,Paid Search,Abandoned - No Documents Uploaded
28181,U71332,"2025-11-20",3450,GBP,532.0,60.0,Car purchase,Referral,Rejected
28183,U27806,"2025-10-19",18550,GBP,,24.0,Holiday / travel,Organic Search,Granted
28189,U36584,"2025-10-16",10800,GBP,775.0,12.0,Debt consolidation,Affiliate / Comparison Site,Abandoned - Document Issues
28191,U46105,"2025-12-06",5050,GBP,763.0,24.0,Car purchase,Affiliate / Comparison Site,Abandoned - Post Approval
28198,U72272,"2025-10-07",10800,GBP,,36.0,Debt consolidation,Social Media Ads,Abandoned - Post Approval
28202,U51763,"2025-10-09",4950,GBP,781.0,12.0,Car purchase,Paid Search,Granted
28203,U85648,"2025-11-29",750,GBP,572.0,12.0,Other / unspecified,Paid Search,Abandoned - No Documents Uploaded
28205,U34613,"2025-11-15",5900,GBP,521.0,6.0,Other / unspecified,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28215,U34171,"2025-11-06",8500,GBP,607.0,48.0,Car purchase,Social Media Ads,Abandoned - No Documents Uploaded
28219,U53885,"2025-11-07",12150,GBP,676.0,6.0,Medical expenses,"",Rejected
28224,U25815,"2025-10-18",17700,GBP,586.0,48.0,Business investment,Direct / App Store,Abandoned - No Documents Uploaded
28229,U96688,"2025-11-12",1250,GBP,635.0,36.0,Car purchase,Referral,Abandoned - No Documents Uploaded
28231,U48795,"2025-11-24",11400,GBP,790.0,36.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28232,U79654,"2025-10-25",5900,GBP,604.0,,Business investment,"",Rejected
28234,U17488,"2025-10-01",5650,GBP,704.0,60.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28236,U71789,"2025-12-12",11500,GBP,605.0,24.0,Business investment,"",Granted
28246,U89819,"2025-11-08",6750,GBP,,24.0,Medical expenses,Referral,Rejected
28248,U54508,"2025-11-13",19350,GBP,439.0,60.0,Wedding,Social Media Ads,Rejected
28256,U94469,"2025-11-11",12200,GBP,605.0,6.0,Debt consolidation,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28259,U61399,"2025-10-04",8900,GBP,588.0,,Debt consolidation,Organic Search,Abandoned - Document Issues
28260,U69556,"2025-10-24",8200,GBP,693.0,24.0,Wedding,Organic Search,Granted
28263,U77703,"2025-11-28",500,GBP,582.0,48.0,Car purchase,Organic Search,Abandoned - Post Approval
28264,U88960,"2025-10-29",12750,GBP,472.0,48.0,Education / tuition,Social Media Ads,Rejected
28265,U39408,"2025-12-14",20450,GBP,566.0,60.0,Home improvement,Paid Search,Rejected
28269,U31390,"2025-10-07",3400,GBP,589.0,,Wedding,Direct / App Store,Abandoned - Document Issues
28280,U59252,"2025-12-15",5200,GBP,656.0,12.0,Education / tuition,Paid Search,Granted
28287,U89549,"2025-11-15",7700,GBP,773.0,12.0,Business investment,Paid Search,Abandoned - No Documents Uploaded
28299,U71357,"2025-10-11",9800,GBP,748.0,48.0,Car purchase,Social Media Ads,Abandoned - No Documents Uploaded
28302,U75044,"2025-10-21",6250,GBP,542.0,24.0,"",Organic Search,Rejected
28307,U93491,"2025-11-05",19550,GBP,481.0,,Car purchase,Paid Search,Rejected
28317,U98484,"2025-11-04",11750,GBP,630.0,6.0,Education / tuition,Organic Search,Rejected
28318,U22915,"2025-11-22",8550,GBP,642.0,,Wedding,Social Media Ads,Rejected
28330,U45458,"2025-11-08",7300,GBP,528.0,24.0,Car purchase,Direct / App Store,Rejected
28334,U89352,"2025-12-15",2200,GBP,,,Education / tuition,Paid Search,Granted
28336,U95978,"2025-11-01",17550,GBP,755.0,6.0,Debt consolidation,Referral,Granted
28343,U50325,"2025-12-29",6850,GBP,755.0,48.0,Medical expenses,"",Abandoned - No Documents Uploaded
28351,U13093,"2025-12-08",4900,GBP,664.0,24.0,Education / tuition,Paid Search,Granted
28358,U44208,"2025-11-28",2800,GBP,716.0,,Medical expenses,Social Media Ads,Rejected
28362,U30883,"2025-12-02",2250,GBP,737.0,,Education / tuition,"",Rejected
28363,U43768,"2025-12-06",7000,GBP,702.0,,"","",Abandoned - No Documents Uploaded
28367,U92174,"2025-10-17",25000,GBP,730.0,,Wedding,Organic Search,Abandoned - No Documents Uploaded
28380,U19600,"2025-10-29",3900,GBP,779.0,24.0,Home improvement,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28387,U50814,"2025-10-10",950,GBP,581.0,12.0,Wedding,Affiliate / Comparison Site,Rejected
28390,U83199,"2025-11-02",15000,GBP,792.0,36.0,Home improvement,Affiliate / Comparison Site,Granted
28393,U90517,"2025-10-01",4400,GBP,494.0,,"",Affiliate / Comparison Site,Granted
28397,U35052,"2025-12-15",12650,GBP,663.0,48.0,Business investment,"",Abandoned - No Documents Uploaded
28404,U56881,"2025-11-04",19450,GBP,674.0,60.0,Holiday / travel,Affiliate / Comparison Site,Granted
28413,U10475,"2025-12-27",21350,GBP,539.0,24.0,Home improvement,"",Abandoned - No Documents Uploaded
28416,U42621,"2025-12-05",8950,GBP,586.0,12.0,Debt consolidation,Social Media Ads,Rejected
28418,U99925,"2025-12-15",4150,GBP,,36.0,Wedding,Direct / App Store,Granted
28423,U63338,"2025-10-14",14600,GBP,687.0,60.0,Home improvement,Affiliate / Comparison Site,Granted
28424,U47495,"2025-11-12",1450,GBP,811.0,48.0,Wedding,Referral,Granted
28443,U33373,"2025-10-27",17700,GBP,634.0,24.0,Wedding,"",Abandoned - No Documents Uploaded
28444,U83243,"2025-10-08",1450,GBP,452.0,24.0,Wedding,Referral,Rejected
28448,U56165,"2025-10-07",1350,GBP,,12.0,Home improvement,Referral,Rejected
28453,U98383,"2025-10-31",13500,GBP,656.0,48.0,Medical expenses,Social Media Ads,Abandoned - No Documents Uploaded
28456,U64050,"2025-10-25",12050,GBP,519.0,6.0,Home improvement,Affiliate / Comparison Site,Rejected
28457,U61341,"2025-10-28",9100,GBP,514.0,6.0,Wedding,Paid Search,Rejected
28471,U22749,"2025-12-10",14350,GBP,798.0,48.0,Business investment,Referral,Abandoned - No Documents Uploaded
28477,U60861,"2025-10-12",5800,GBP,693.0,36.0,Wedding,Organic Search,Abandoned - No Documents Uploaded
28482,U69063,"2025-10-17",25000,GBP,729.0,12.0,Debt consolidation,Paid Search,Abandoned - Post Approval
28494,U62057,"2025-10-31",16050,GBP,706.0,36.0,Wedding,Direct / App Store,Abandoned - No Documents Uploaded
28517,U33504,"2025-11-25",15500,GBP,756.0,24.0,Wedding,"",Abandoned - No Documents Uploaded
28519,U93545,"2025-12-14",2850,GBP,673.0,48.0,Car purchase,Organic Search,Abandoned - No Documents Uploaded
28520,U34553,"2025-12-26",8900,GBP,771.0,12.0,Debt consolidation,Direct / App Store,Abandoned - No Documents Uploaded
28526,U13022,"2025-10-28",10950,GBP,717.0,24.0,Wedding,Paid Search,Abandoned - Document Issues
28530,U58695,"2025-10-20",10350,GBP,824.0,12.0,Home improvement,Social Media Ads,Abandoned - No Documents Uploaded
28531,U73643,"2025-11-26",6950,GBP,,12.0,Other / unspecified,Paid Search,Rejected
28542,U89564,"2025-10-31",12300,GBP,590.0,,Car purchase,Paid Search,Rejected
28549,U11254,"2025-11-03",9100,GBP,609.0,24.0,"",Referral,Abandoned - No Documents Uploaded
28553,U59132,"2025-10-08",6800,GBP,696.0,,Medical expenses,"",Abandoned - No Documents Uploaded
28566,U27740,"2025-11-15",9900,GBP,587.0,24.0,Car purchase,Social Media Ads,Granted
28569,U42538,"2025-12-10",2900,GBP,681.0,48.0,Car purchase,Social Media Ads,Granted
28586,U10146,"2025-10-29",1000,GBP,748.0,36.0,Debt consolidation,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28588,U36093,"2025-10-27",3450,GBP,683.0,24.0,Medical expenses,Social Media Ads,Abandoned - No Documents Uploaded
28589,U35339,"2025-10-16",7900,GBP,587.0,24.0,Medical expenses,Organic Search,Rejected
28598,U15971,"2025-11-24",5000,GBP,720.0,36.0,Car purchase,Organic Search,Granted
28600,U18617,"2025-10-22",7400,GBP,733.0,48.0,Education / tuition,Direct / App Store,Abandoned - No Documents Uploaded
28603,U82873,"2025-12-02",2450,GBP,850.0,12.0,Business investment,Referral,Granted
28608,U18064,"2025-10-31",18750,GBP,646.0,12.0,Car purchase,Paid Search,Abandoned - No Documents Uploaded
28609,U54206,"2025-10-09",3300,GBP,706.0,12.0,Medical expenses,Organic Search,Abandoned - No Documents Uploaded
28610,U19880,"2025-12-22",950,GBP,784.0,48.0,Home improvement,Paid Search,Abandoned - No Documents Uploaded
28615,U91510,"2025-10-20",21000,GBP,760.0,12.0,Wedding,Organic Search,Abandoned - No Documents Uploaded
28618,U77047,"2025-12-09",10750,GBP,,48.0,Debt consolidation,Social Media Ads,Abandoned - Post Approval
28632,U94508,"2025-11-20",13050,GBP,729.0,12.0,Education / tuition,"",Abandoned - Document Issues
28640,U68988,"2025-10-21",9300,GBP,756.0,6.0,Education / tuition,Social Media Ads,Granted
28646,U68758,"2025-11-17",22150,GBP,595.0,24.0,Wedding,Affiliate / Comparison Site,Granted
28667,U69298,"2025-11-19",6050,GBP,479.0,36.0,Medical expenses,Referral,Abandoned - No Documents Uploaded
28668,U78992,"2025-10-28",10600,GBP,512.0,12.0,Education / tuition,Referral,Abandoned - No Documents Uploaded
28669,U30826,"2025-11-29",15700,GBP,718.0,24.0,Wedding,Direct / App Store,Abandoned - No Documents Uploaded
28683,U76747,"2025-11-06",15400,GBP,730.0,48.0,Medical expenses,Affiliate / Comparison Site,Granted
28692,U98021,"2025-10-25",13650,GBP,593.0,48.0,Medical expenses,Organic Search,Abandoned - Post Approval
28695,U18475,"2025-10-28",22100,GBP,749.0,24.0,Wedding,Social Media Ads,Granted
28699,U20386,"2025-11-14",5250,GBP,,36.0,Car purchase,Affiliate / Comparison Site,Abandoned - Document Issues
28706,U57024,"2025-10-25",4200,GBP,531.0,24.0,Medical expenses,Affiliate / Comparison Site,Pending Disbursement
28711,U29515,"2025-11-04",6400,GBP,575.0,60.0,Home improvement,"",Rejected
28714,U83122,"2025-10-03",5200,GBP,547.0,12.0,Education / tuition,Paid Search,Rejected
28732,U65048,"2025-12-29",750,GBP,528.0,12.0,Education / tuition,Direct / App Store,Rejected
28734,U96828,"2025-11-24",4850,GBP,841.0,24.0,"",Social Media Ads,Granted
28735,U86409,"2025-12-06",3900,GBP,727.0,12.0,Education / tuition,Paid Search,Granted
28747,U25162,"2025-10-12",4900,GBP,717.0,12.0,"",Organic Search,Granted
28756,U82703,"2025-11-09",3600,GBP,659.0,24.0,Holiday / travel,Direct / App Store,Granted
28758,U98343,"2025-11-21",20300,GBP,727.0,48.0,"",Organic Search,Abandoned - No Documents Uploaded
28767,U48776,"2025-11-04",25000,GBP,695.0,48.0,Holiday / travel,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
28769,U41005,"2025-10-09",2650,GBP,749.0,36.0,Other / unspecified,Affiliate / Comparison Site,Granted
28779,U53850,"2025-11-24",9150,GBP,850.0,24.0,Wedding,Organic Search,Granted
28787,U59041,"2025-12-05",16000,GBP,760.0,,"","",Abandoned - No Documents Uploaded
28788,U18741,"2025-11-20",16450,GBP,683.0,48.0,Wedding,Organic Search,Granted
28789,U28900,"2025-11-21",25000,GBP,634.0,36.0,Education / tuition,Paid Search,Abandoned - No Documents Uploaded
28790,U90161,"2025-12-09",8150,GBP,703.0,48.0,Home improvement,Organic Search,Granted
28791,U75670,"2025-11-24",5150,GBP,714.0,24.0,Education / tuition,Paid Search,Granted
28806,U31310,"2025-12-19",15050,GBP,721.0,12.0,Holiday / travel,Direct / App Store,Abandoned - No Documents Uploaded
28819,U38453,"2025-12-15",7900,GBP,735.0,6.0,Wedding,"",Rejected
28833,U20090,"2025-10-19",7750,GBP,570.0,12.0,Other / unspecified,Organic Search,Abandoned - No Documents Uploaded
28837,U39955,"2025-10-13",9600,GBP,719.0,12.0,Medical expenses,"",Abandoned - No Documents Uploaded
28840,U17969,"2025-10-19",12300,GBP,644.0,12.0,Business investment,Organic Search,Granted
28849,U50232,"2025-11-06",9850,GBP,637.0,12.0,Other / unspecified,Social Media Ads,Abandoned - No Documents Uploaded
28851,U91345,"2025-11-06",6800,GBP,636.0,12.0,Wedding,Referral,Granted
28852,U98326,"2025-10-14",10700,GBP,813.0,24.0,Business investment,Affiliate / Comparison Site,Abandoned - Post Approval
28861,U93584,"2025-10-05",4700,GBP,560.0,24.0,Home improvement,Organic Search,Rejected
28865,U94601,"2025-10-09",25000,GBP,647.0,6.0,Car purchase,Referral,Granted
28867,U93945,"2025-12-20",3800,GBP,759.0,24.0,Car purchase,Social Media Ads,Abandoned - No Documents Uploaded
28872,U21574,"2025-11-30",10850,GBP,656.0,24.0,Home improvement,Referral,Granted
28885,U53374,"2025-10-20",7250,GBP,779.0,24.0,Wedding,"",Granted
28889,U78563,"2025-12-08",12150,GBP,601.0,36.0,"",Referral,Abandoned - No Documents Uploaded
28895,U53707,"2025-11-12",10700,GBP,628.0,12.0,Wedding,Paid Search,Rejected
28904,U36301,"2025-10-16",3900,GBP,802.0,36.0,Home improvement,"",Abandoned - No Documents Uploaded
28906,U80153,"2025-10-30",5000,GBP,,,Other / unspecified,Referral,Abandoned - No Documents Uploaded
28918,U15201,"2025-10-19",14100,GBP,564.0,12.0,Home improvement,Paid Search,Abandoned - No Documents Uploaded
28920,U62648,"2025-12-15",4400,GBP,760.0,24.0,Medical expenses,Social Media Ads,Granted
28929,U48962,"2025-11-20",2900,GBP,546.0,36.0,Debt consolidation,Affiliate / Comparison Site,Abandoned - Post Approval
28934,U54849,"2025-12-21",2350,GBP,652.0,12.0,Medical expenses,Social Media Ads,Abandoned - No Documents Uploaded
28938,U94305,"2025-12-12",3300,GBP,711.0,12.0,Car purchase,Paid Search,Abandoned - No Documents Uploaded
28940,U66625,"2025-11-21",7900,GBP,625.0,24.0,Wedding,Referral,Abandoned - No Documents Uploaded
28948,U18665,"2025-11-07",15700,GBP,730.0,24.0,Education / tuition,Social Media Ads,Pending Disbursement
28951,U78753,"2025-12-17",5450,GBP,683.0,48.0,Holiday / travel,"",Abandoned - No Documents Uploaded
28952,U75289,"2025-10-15",13650,GBP,689.0,6.0,Business investment,Organic Search,Pending Disbursement
28953,U68418,"2025-12-04",13450,GBP,531.0,12.0,Wedding,Paid Search,Rejected
28954,U42127,"2025-10-17",12050,GBP,527.0,24.0,Business investment,Affiliate / Comparison Site,Rejected
28961,U67131,"2025-12-03",2750,GBP,648.0,36.0,Debt consolidation,Social Media Ads,Abandoned - No Documents Uploaded
28965,U70076,"2025-10-30",2300,GBP,619.0,24.0,Car purchase,Direct / App Store,Abandoned - No Documents Uploaded
28966,U76459,"2025-10-01",4950,GBP,641.0,6.0,Education / tuition,"",Rejected
28968,U77320,"2025-12-14",24200,GBP,449.0,36.0,Wedding,"",Abandoned - No Documents Uploaded
28975,U69555,"2025-11-10",500,GBP,,24.0,Wedding,Paid Search,Abandoned - Document Issues
29001,U32533,"2025-11-30",8450,GBP,632.0,36.0,Wedding,Social Media Ads,Rejected
29003,U34826,"2025-11-24",14150,GBP,657.0,24.0,Medical expenses,"",Rejected
29004,U83492,"2025-11-04",10700,GBP,730.0,12.0,Wedding,Social Media Ads,Granted
29006,U93658,"2025-10-05",7950,GBP,646.0,24.0,Medical expenses,Organic Search,Abandoned - No Documents Uploaded
29010,U52345,"2025-11-29",12500,GBP,794.0,36.0,Business investment,Social Media Ads,Abandoned - Post Approval
29015,U25295,"2025-10-31",4850,GBP,511.0,24.0,Business investment,Paid Search,Abandoned - Document Issues
29020,U52316,"2025-10-06",21300,GBP,660.0,36.0,Wedding,Paid Search,Rejected
29023,U84637,"2025-11-02",10300,GBP,719.0,24.0,Home improvement,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
29031,U80775,"2025-11-17",13350,GBP,583.0,12.0,Holiday / travel,Referral,Rejected
29038,U89074,"2025-10-31",4550,GBP,684.0,6.0,Home improvement,Social Media Ads,Rejected
29058,U44638,"2025-10-10",5050,GBP,681.0,12.0,Wedding,Paid Search,Abandoned - Document Issues
29062,U21774,"2025-11-16",2800,GBP,616.0,24.0,Wedding,Social Media Ads,Rejected
29071,U71707,"2025-11-16",18000,GBP,472.0,6.0,Holiday / travel,Organic Search,Abandoned - No Documents Uploaded
29072,U72441,"2025-11-05",4750,GBP,782.0,6.0,Wedding,Paid Search,Abandoned - Document Issues
29074,U36037,"2025-10-25",2800,GBP,832.0,36.0,Home improvement,"",Abandoned - No Documents Uploaded
29087,U11919,"2025-12-29",6700,GBP,673.0,36.0,Holiday / travel,Paid Search,Granted
29092,U67633,"2025-11-16",3700,GBP,711.0,6.0,Education / tuition,Paid Search,Granted
29098,U79653,"2025-10-20",7750,GBP,697.0,24.0,Wedding,Social Media Ads,Rejected
29099,U17707,"2025-11-23",16050,GBP,529.0,36.0,Car purchase,Organic Search,Rejected
29100,U38969,"2025-12-29",9650,GBP,840.0,48.0,Wedding,Social Media Ads,Abandoned - No Documents Uploaded
29109,U45371,"2025-11-22",23600,GBP,,36.0,Other / unspecified,Organic Search,Granted
29111,U38114,"2025-11-06",7800,GBP,640.0,24.0,Medical expenses,Paid Search,Abandoned - No Documents Uploaded
29113,U76402,"2025-10-01",14250,GBP,,24.0,Business investment,Paid Search,Abandoned - Document Issues
29115,U83026,"2025-10-18",5000,GBP,461.0,,Business investment,Social Media Ads,Rejected
29120,U29597,"2025-10-10",10800,GBP,,48.0,Other / unspecified,Referral,Rejected
29123,U98207,"2025-11-13",3950,GBP,617.0,24.0,Home improvement,Social Media Ads,Rejected
29126,U10131,"2025-10-01",10050,GBP,740.0,24.0,Wedding,Direct / App Store,Abandoned - Document Issues
29128,U39667,"2025-12-21",6300,GBP,690.0,36.0,Other / unspecified,"",Granted
29140,U98606,"2025-11-01",5500,GBP,705.0,36.0,Wedding,Referral,Abandoned - No Documents Uploaded
29144,U76575,"2025-12-07",4250,GBP,395.0,,"","",Abandoned - No Documents Uploaded
29152,U60302,"2025-10-19",3400,GBP,795.0,24.0,Medical expenses,Social Media Ads,Abandoned - No Documents Uploaded
29156,U13707,"2025-10-20",500,GBP,650.0,12.0,Wedding,Direct / App Store,Rejected
29157,U34470,"2025-12-29",4950,GBP,635.0,,"",Referral,Abandoned - No Documents Uploaded
29167,U36728,"2025-11-10",1050,GBP,549.0,,Debt consolidation,Referral,Abandoned - No Documents Uploaded
